Num,District,State,Population,Growth Rate,Sex-Ratio,Literacy,Population_current_estimated,Population_current,Population_current_log,Population_log
1,thane,maharashtra,11060148,1.205545422,886,84.53,239590362.5,75516886.69,18.13986685,16.21885894
2,north twenty four parganas,west bengal,10009781,1.20278187,955,84.06,31200070.64,62140646.68,17.94491087,16.11907327
3,bangalore,karnataka,9621551,1.206833236,916,87.67,458915865.4,68644502.82,18.04445161,16.07951604
4,pune,maharashtra,9429408,1.204895175,915,86.15,133739927.3,62963808.15,17.95807065,16.05934387
5,mumbai suburban,maharashtra,9356962,1.202349524,860,89.91,20750014.42,57222987.48,17.86246625,16.05163122
6,south twenty four parganas,west bengal,8161961,1.20348861,956,77.51,43337800.95,51923918.51,17.7652901,15.91499502
7,barddhaman,west bengal,7717563,1.202768034,945,76.21,23798917.21,47887601.78,17.68436719,15.8590092
8,ahmadabad,gujarat,7214225,1.204164222,904,85.31,62152287.89,46976771.19,17.66516381,15.79156533
9,murshidabad,west bengal,7103807,1.203825263,958,66.59,48147522.6,45720519.56,17.63805776,15.7761414
10,jaipur,rajasthan,6626178,1.204413253,910,75.51,67844165.01,43518993.06,17.58870802,15.70653873
11,nashik,maharashtra,6107187,1.203964767,934,82.31,45719954.39,39495741.67,17.49170342,15.62497683
12,surat,gujarat,6081322,1.206263692,787,85.53,206165236.1,42553539.43,17.56627359,15.62073266
13,allahabad,uttar pradesh,5954391,1.203772229,901,72.32,38849964.63,38252762.52,17.45972634,15.59963949
14,paschim medinipur,west bengal,5913457,1.202991701,966,78,21654753.17,36978558.88,17.42584881,15.59274116
15,patna,bihar,5838465,1.204129635,897,70.68,49096305.24,37972993.37,17.45238576,15.57997848
16,hugli,west bengal,5519145,1.202484416,961,81.8,13627815.4,33911090.9,17.33925268,15.52373351
17,rangareddy,andhra pradesh,5296741,1.206946222,961,75.87,269971817.8,37934792.71,17.45137926,15.48260228
18,nadia,west bengal,5167600,1.202802622,947,74.97,16367846.11,32103507.81,17.28447586,15.45791892
19,east godavari,andhra pradesh,5154296,1.20198866,1006,70.99,8524621.987,31128368.61,17.25363014,15.4553411
20,purbi champaran,bihar,5099371,1.2047868,902,55.79,67276923.21,33924036.47,17.33963436,15.44462776
21,purba medinipur,west bengal,5095875,1.203164639,938,87.02,21270183.67,32057314.23,17.28303593,15.44394195
22,guntur,andhra pradesh,4887813,1.202485569,1003,67.4,12079967.42,30033221.6,17.21781471,15.40225552
23,haora,west bengal,4850029,1.202950196,939,83.31,17206912.52,30285070.95,17.22616544,15.39449524
24,muzaffarpur,bihar,4801062,1.204638073,900,63.43,57303943.63,31776763.45,17.27424587,15.3843477
25,belgaum,karnataka,4779661,1.20293982,973,73.48,16823277.15,29834946.69,17.21119097,15.37988018
26,moradabad,uttar pradesh,4772006,1.20430142,906,56.77,45231186.01,31220919.81,17.25659893,15.37827732
27,ghaziabad,uttar pradesh,4681645,1.206267151,881,78.07,159049311.7,32763281.07,17.30481897,15.3591601
28,nagpur,maharashtra,4653570,1.203053959,951,88.39,17866788.47,29162917.93,17.18840853,15.35314522
29,chennai,tamil nadu,4646732,1.202198491,989,90.18,9123753.87,28268580.99,17.15726153,15.35167473
30,azamgarh,uttar pradesh,4613913,1.203366401,1019,70.93,22387686.2,29228612,17.19065865,15.34458686
31,lucknow,uttar pradesh,4589838,1.204370595,917,77.29,45634591.34,30100644.83,17.22005715,15.33935529
