Month,Rotavirus Positivity,Point Group,Region
Sept-Nov,41.29886957,0, North
Sept-Nov,34.0818616,0, South
Dec-Feb,58.67973166,1, North
Dec-Feb,42.32418054,1, South
Mar-May,34.07109262,2, North
Mar-May,30.03899282,2, South
June-Aug,24.14857665,3, North
June-Aug,49.15002506,3, South
Sept-Nov,50.17205988,4, North
Sept-Nov,47.06049681,4, South
Sept-Nov,39.74518854,4,West
Sept-Nov,50.11445285,4,East
Dec-Feb,64.96256531,5, North
Dec-Feb,49.40788507,5, South
Dec-Feb,65.36503071,5, West
Dec-Feb,57.87611759,5, East
Mar-May,40.69590037,6, North
Mar-May,31.53599168,6, South
Mar-May,26.11975577,6, West
Mar-May,58.26447515,6, East
June-Aug,26.45129007,7, North
June-Aug,22.30319246,7, South
June-Aug,16.36966899,7, West
June-Aug,16.42884355,7, East
Sept-Nov,37.15208869,8, North
Sept-Nov,30.69971012,8, South
Sept-Nov,45.56153853,8, West
Sept-Nov,30.700102,8, East
Dec-Feb,64.03967727,9, North
Dec-Feb,49.75313533,9, South
Dec-Feb,54.2464832,9, West
Dec-Feb,60.92889798,9, East
Mar-May,28.71167996,10, North
Mar-May,38.27405406,10, South
Mar-May,18.80366373,10, West
Mar-May,32.22570843,10, East
June-Aug,23.22451296,11, North
June-Aug,25.47157878,11, South
June-Aug,16.71452737,11, West
June-Aug,22.36001572,11, East
Sept-Nov,39.97287344,12, North
Sept-Nov,29.83560476,12, South
Sept-Nov,34.32777698,12, West
Sept-Nov,28.62507349,12, East
Dec-Feb,44.16407835,13, North
Dec-Feb,43.35718813,13, South
Dec-Feb,52.05663252,13, West
Dec-Feb,54.07248647,13, East
Mar-May,34.58681264,14, North
Mar-May,23.75590836,14, South
Mar-May,21.22119931,14, West
Mar-May,46.39625256,14, East
June-Aug,13.08489297,15, North
June-Aug,15.85003012,15, South
June-Aug,8.476722938,15, West
June-Aug,26.50732956,15, East
