,Serotype,Parameter a,Parameter b,Parameter c,Parameter d,Formula
0,G12P[6],-0.017893103135012668,0.08328887794514027,-0.00048154229313852464,0.03161849624477033,a * sin(b - x) + c * x**2 + d
1,G1P[6],0.02908716902206299,1.2042548580205903,-0.00032436013692499266,0.03517878469028164,a * sin(b - x) + c * x**2 + d
2,G1P[8],-0.16804250609702395,0.777802498418239,-0.007102083893496549,0.4632173717022819,a * sin(b - x) + c * x**2 + d
3,G2P[4],-0.06922883794354519,-31.914603417209566,0.0023102615568710793,0.06292629608956399,a * sin(b - x) + c * x**2 + d
4,G3P[8],0.1313918123465983,0.3291133659498697,0.00901719368641217,0.039542870654516185,a * sin(b - x) + c * x**2 + d
5,G9P[4],-0.05057778681852752,2.3233550206766345,2.4404240244499952e-05,0.0563710673235913,a * sin(b - x) + c * x**2 + d
6,G9P[8],-0.03069044498559265,-19.368346332871045,-0.0012824412827515054,0.04931855329947694,a * sin(b - x) + c * x**2 + d
7,Mixed,0.08001802411515167,0.5422842483828234,0.00065126717740358,0.09305891157237885,a * sin(b - x) + c * x**2 + d
8,Uncommon,0.02725346423678812,1.6538987632247968,-0.0015431670329886177,0.09089465832783467,a * sin(b - x) + c * x**2 + d
9,Untyped,-0.03189420734823616,1.2317933817873705,-0.0012695324635632712,0.07787299879311435,a * sin(b - x) + c * x**2 + d
