state_name,district_no,prob_wealthq_1,prob_wealthq_2,prob_wealthq_3,prob_wealthq_4,prob_wealthq_5
jammu & kashmir,1,0.138206599,0.260756846,0.254971355,0.250938945,0.095126255
jammu & kashmir,2,0.091798104,0.155267851,0.256795845,0.273096591,0.223041609
ladakh,3,0.02372189,0.173910418,0.292836409,0.392375561,0.117155722
ladakh,4,0.212166028,0.389444848,0.220807286,0.139382022,0.038199817
jammu & kashmir,5,0.152636694,0.300749965,0.144408914,0.243176011,0.159028415
jammu & kashmir,6,0.221467027,0.208837144,0.203601919,0.199109612,0.166984298
jammu & kashmir,7,0.057117558,0.112180046,0.103231923,0.283221123,0.44424935
jammu & kashmir,8,0.134020029,0.244915382,0.275424733,0.18780586,0.157833995
jammu & kashmir,9,0.186074989,0.257358133,0.269281191,0.175765726,0.11151996
jammu & kashmir,10,0.013607409,0.037727868,0.151917107,0.395581154,0.401166462
jammu & kashmir,11,0.172300948,0.219990471,0.176879257,0.26404963,0.166779693
jammu & kashmir,12,0.038145586,0.107953984,0.302832137,0.423070899,0.127997393
jammu & kashmir,13,0.020636868,0.166550607,0.322401547,0.35222679,0.138184188
jammu & kashmir,14,0.06611249,0.143539574,0.318264197,0.367334932,0.104748807
jammu & kashmir,15,0.180242204,0.295199116,0.241910386,0.216854148,0.065794146
jammu & kashmir,16,0.227433675,0.304590373,0.207262804,0.15164487,0.109068278
jammu & kashmir,17,0.343764894,0.270063468,0.162265245,0.16188735,0.062019043
jammu & kashmir,18,0.228922376,0.277275606,0.229008967,0.178081678,0.086711373
jammu & kashmir,19,0.254037076,0.192890177,0.139621743,0.175938181,0.237512823
jammu & kashmir,20,0.283218133,0.239168349,0.211752532,0.149635482,0.116225504
jammu & kashmir,21,0.018036763,0.048375256,0.089516019,0.252008868,0.592063093
jammu & kashmir,22,0.028369657,0.129140734,0.179963432,0.297048955,0.365477223
himachal pradesh,23,0.074066959,0.231920764,0.343604435,0.235653295,0.114754548
himachal pradesh,24,0.01475972,0.138836537,0.258425064,0.293425632,0.294553048
himachal pradesh,25,0.190083322,0.433714385,0.263431964,0.101212258,0.011558071
himachal pradesh,26,0.089469672,0.336953329,0.182109282,0.181370683,0.210097034
himachal pradesh,27,0.028727046,0.132215439,0.271922867,0.293226972,0.273907676
himachal pradesh,28,0.051923611,0.099408897,0.115874838,0.331914556,0.400878098
himachal pradesh,29,0.061855031,0.104683782,0.092714943,0.232402062,0.508344182
himachal pradesh,30,0.01682421,0.095390572,0.323817045,0.380369543,0.18359863
himachal pradesh,31,0.008530058,0.074548119,0.165773195,0.433588749,0.317559879
himachal pradesh,32,0.058888637,0.09082411,0.256897438,0.293748984,0.29964083
himachal pradesh,33,0.063509856,0.137984297,0.236841078,0.323377571,0.238287199
himachal pradesh,34,0.077003854,0.238494256,0.29622759,0.252669192,0.135605108
punjab,35,0.058297236,0.038773092,0.085835784,0.164518007,0.652575881
punjab,36,0.019342286,0.009442356,0.091582715,0.267146903,0.61248574
punjab,37,0.017373224,0.034509674,0.056500162,0.202262615,0.689354325
punjab,38,0.013030757,0.042157246,0.062038387,0.202203338,0.680570272
punjab,39,0.003803477,0.028566622,0.084357383,0.241620411,0.641652106
punjab,40,0.008048837,0.056064242,0.103479761,0.292910878,0.539496282
punjab,41,0.019277491,0.067611947,0.227503728,0.238613657,0.446993177
punjab,42,0.022933729,0.132500949,0.186929257,0.255600404,0.40203566
punjab,43,0.010763062,0.118188919,0.147871572,0.301110546,0.4220659
punjab,44,0.006106175,0.127825756,0.197049735,0.197258665,0.471759669
punjab,45,0.012945223,0.119567082,0.221812114,0.291366197,0.354309385
punjab,46,0,0.056762506,0.104873446,0.203109608,0.635254441
punjab,47,0.003662868,0.049283867,0.092491206,0.219935255,0.634626804
punjab,48,0.015610509,0.122632908,0.193093593,0.273635972,0.395027018
punjab,49,0.010337086,0.027728645,0.100319092,0.218478877,0.6431363
punjab,50,0.010247699,0.038012569,0.081170332,0.169419845,0.701149555
punjab,51,0.003662632,0.018162116,0.119947166,0.286685587,0.571542499
punjab,52,0.004262609,0.050441914,0.146540226,0.253925548,0.544829704
chandigarh,53,0.029658542,0.018831798,0.041682136,0.155379625,0.754447898
uttarakhand,54,0.100555137,0.316229591,0.316941217,0.131414739,0.134859317
uttarakhand,55,0.031254753,0.293755551,0.378003838,0.213434495,0.083551364
uttarakhand,56,0.039196789,0.280017098,0.332302346,0.250225959,0.098257809
uttarakhand,57,0.056753614,0.275345131,0.307373314,0.193421785,0.167106157
uttarakhand,58,0.005718115,0.045825956,0.119024742,0.245368164,0.584063024
uttarakhand,59,0.066247571,0.279413575,0.353455655,0.111514175,0.189369024
uttarakhand,60,0.071600743,0.262991385,0.347243301,0.229498949,0.088665622
uttarakhand,61,0.053979402,0.360242596,0.308443841,0.163561782,0.113772378
uttarakhand,62,0.145740491,0.359701428,0.249688854,0.145527743,0.099341484
uttarakhand,63,0.13287652,0.301721553,0.26024798,0.154900597,0.15025335
uttarakhand,64,0.106711065,0.101771182,0.150053899,0.182508571,0.458955282
uttarakhand,65,0.056122178,0.137831855,0.236206806,0.289269105,0.280570057
uttarakhand,66,0.067672858,0.166143373,0.204526998,0.275723706,0.285933066
haryana,67,0.006620127,0.028152892,0.069627434,0.203176091,0.692423455
haryana,68,0.042939098,0.062356339,0.087657601,0.294497705,0.512549257
haryana,69,0.0069829,0.100614967,0.099602192,0.314633698,0.478166244
haryana,70,0.003017062,0.052688048,0.192298456,0.264919682,0.487076752
haryana,71,0,0.074001226,0.280827351,0.191491776,0.453679648
haryana,72,0.016463832,0.055301421,0.171038702,0.229367378,0.527828666
haryana,73,0.019005581,0.121711198,0.163913297,0.291703393,0.403666532
haryana,74,0.003137743,0.040839546,0.102144313,0.312272785,0.541605612
